2021-07-16 10:46:29.8700 INFO Company with id: 13 doesn't exist in the database.
2021-07-16 10:50:35.3878 ERROR Invalid model state for the object. Controller: Authentication, action: RegisterUser 
2021-07-16 10:53:53.9331 ERROR Invalid model state for the object. Controller: Authentication, action: RegisterUser 
2021-07-16 10:55:12.7544 ERROR Invalid model state for the object. Controller: Products, action: CreateProduct 
2021-07-16 10:55:15.2547 ERROR Invalid model state for the object. Controller: Products, action: CreateProduct 
2021-07-16 10:55:15.9973 ERROR Invalid model state for the object. Controller: Products, action: CreateProduct 
2021-07-16 11:24:07.0429 ERROR Invalid model state for the object. Controller: Products, action: CreateProduct 
2021-07-16 11:51:24.4808 ERROR Invalid model state for the object. Controller: Products, action: CreateProduct 
2021-07-16 11:51:59.3313 ERROR Invalid model state for the object. Controller: Products, action: CreateProduct 
2021-07-16 11:52:46.3766 ERROR Invalid model state for the object. Controller: Products, action: CreateProduct 
2021-07-16 11:52:47.2201 ERROR Invalid model state for the object. Controller: Products, action: CreateProduct 
2021-07-16 11:55:15.8784 ERROR Invalid model state for the object. Controller: Products, action: CreateProduct 
2021-07-16 11:55:39.0270 ERROR Object sent from client is null. Controller: Products, action: CreateProduct 
2021-07-16 11:56:03.4057 ERROR Object sent from client is null. Controller: Products, action: CreateProduct 
2021-07-16 11:56:21.3871 ERROR Object sent from client is null. Controller: Products, action: CreateProduct 
2021-07-16 11:57:11.0778 ERROR Invalid model state for the object. Controller: Products, action: CreateProduct 
2021-07-16 11:57:32.7211 ERROR Object sent from client is null. Controller: Products, action: CreateProduct 
2021-07-16 11:57:33.4938 ERROR Object sent from client is null. Controller: Products, action: CreateProduct 
2021-07-16 11:58:10.6851 ERROR Object sent from client is null. Controller: Products, action: CreateProduct 
2021-07-16 11:58:11.7388 ERROR Object sent from client is null. Controller: Products, action: CreateProduct 
2021-07-16 11:58:12.3700 ERROR Object sent from client is null. Controller: Products, action: CreateProduct 
2021-07-16 11:58:58.1560 ERROR Object sent from client is null. Controller: Products, action: CreateProduct 
2021-07-16 11:59:01.3653 ERROR Object sent from client is null. Controller: Products, action: CreateProduct 
2021-07-16 11:59:15.4292 ERROR Object sent from client is null. Controller: Products, action: CreateProduct 
2021-07-16 11:59:16.3046 ERROR Object sent from client is null. Controller: Products, action: CreateProduct 
2021-07-16 11:59:28.6397 ERROR Invalid model state for the object. Controller: Products, action: CreateProduct 
2021-07-16 12:00:50.4835 ERROR Invalid model state for the object. Controller: Products, action: CreateProduct 
2021-07-16 12:00:55.1136 ERROR Object sent from client is null. Controller: Products, action: CreateProduct 
2021-07-16 12:00:56.0037 ERROR Object sent from client is null. Controller: Products, action: CreateProduct 
2021-07-16 12:01:50.3456 ERROR Object sent from client is null. Controller: Products, action: CreateProduct 
2021-07-16 12:02:05.0786 ERROR Object sent from client is null. Controller: Products, action: CreateProduct 
2021-07-16 12:02:33.0257 ERROR Object sent from client is null. Controller: Products, action: CreateProduct 
2021-07-16 12:02:39.7963 ERROR Object sent from client is null. Controller: Products, action: CreateProduct 
2021-07-16 12:02:40.5557 ERROR Object sent from client is null. Controller: Products, action: CreateProduct 
2021-07-16 12:03:17.5894 ERROR Invalid model state for the object. Controller: Products, action: CreateProduct 
2021-07-16 12:03:58.7013 ERROR Object sent from client is null. Controller: Products, action: CreateProduct 
2021-07-16 12:10:35.0878 ERROR Invalid model state for the object. Controller: Products, action: CreateProduct 
2021-07-16 12:10:46.1853 ERROR Invalid model state for the object. Controller: Products, action: CreateProduct 
2021-07-16 12:10:59.2414 ERROR Invalid model state for the object. Controller: Products, action: CreateProduct 
2021-07-16 12:11:54.9993 ERROR Invalid model state for the object. Controller: Products, action: CreateProduct 
2021-07-16 12:18:12.4989 ERROR Invalid model state for the object. Controller: Authentication, action: Authenticate 
